artist,album,songs
mtv,abcd,Ishq Sufiyana [www.DJLUV.in].mp3
pritam,personal_pritam,Afghan Jalebi - Pritam Feat. Nakash Aziz - MTV Unplugged Season 5(mp3rule.com).mp3
mtv,abcd,Ishq Sufiyana [www.DJLUV.in].mp3
pritam,personal_pritam,Barfi - Pritam - MTV Unplugged Season 5(mp3rule.com).mp3
pritam,personal_pritam,Aaj Din Chadheya - Pritam Feat. Harshdeep Kaur - MTV Unplugged Season 5(mp3rule.com).mp3
bismil,haider,Bismil - Sukhwinder Singh - MTV Unplugged Season 5(mp3rule.com).mp3
bismil,haider,Bismil - Sukhwinder Singh - MTV Unplugged Season 5(mp3rule.com).mp3
sukhi,personal_sukhi,Aatish-Para-(Sukhwinder-Singh)-MTV-Unplugged-Season-5.mp3
sukhi,personal_sukhi,Aatish-Para-(Sukhwinder-Singh)-MTV-Unplugged-Season-5.mp3
atif aslam,rustom,tere-sang-yaara-(Muskurahat.Com).mp3
mix,sultan,sultan-(Muskurahat.Com).mp3
mika,sultan,440-volt-(Muskurahat.Com).mp3
arijit,ae dil hai muskil,ae-dil-hai-mushkil-title-track-(Muskurahat.Com).mp3
mika,sultan,baby-ko-bass-pasand-hai-(Muskurahat.Com).mp3
amit mishra,ae dil hai muskil,bulleya-(Muskurahat.Com).mp3
arijit,ae dil hai muskil,channa-mereya-(Muskurahat.Com).mp3
arijit,ae dil hai muskil,channa-mereya-unplugged-(Muskurahat.Com).mp3
arijit,raaz reboot,hummein-tummein-jo-tha-(Muskurahat.Com).mp3
rahat fateh khan,sultan,jag-ghoomeya-female-(Muskurahat.Com).mp3
baadshah,baar baar dekho,kala-chashma-(Muskurahat.Com).mp3
arijit,raaz reboot,lo-maan-liya-(Muskurahat.Com).mp3
mix,baar baar dekho,nachde-ne-saare-(Muskurahat.Com).mp3
arijit,raaz reboot,raaz-aankhein-teri-(Muskurahat.Com).mp3
mix,sultan,rise-of-sultan-(Muskurahat.Com).mp3
mix,rustom,rustom-vahi-male-version-(Muskurahat.Com).mp3
mix,sultan,sultan-(Muskurahat.Com).mp3
mix,housefull3,taang-uthake-(Muskurahat.Com).mp3
mix,baar baar dekho,teri-khair-mangdi-(Muskurahat.Com).mp3
arijit,ae dil hai muskil,the-breakup-song-(Muskurahat.Com).mp3
arijt,raaz reboot,the-sound-of-raaz-(Muskurahat.Com).mp3
arijit,raaz reboot,yaad-hai-na-(Muskurahat.Com).mp3
